,Track_ID,Track_Name,Track_Artist,Preview_URL
1,794QVQtFNy7hvtjQP1keQd,1942 (feat. Yo Gotti & YBN Nahmir),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/02kJSzxNuaWGqwubyUba0Z'}, 'href': 'https://api.spotify.com/v1/artists/02kJSzxNuaWGqwubyUba0Z', 'id': '02kJSzxNuaWGqwubyUba0Z', 'name': 'G-Eazy', 'type': 'artist', 'uri': 'spotify:artist:02kJSzxNuaWGqwubyUba0Z'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6Ha4aES39QiVjR0L2lwuwq'}, 'href': 'https://api.spotify.com/v1/artists/6Ha4aES39QiVjR0L2lwuwq', 'id': '6Ha4aES39QiVjR0L2lwuwq', 'name': 'Yo Gotti', 'type': 'artist', 'uri': 'spotify:artist:6Ha4aES39QiVjR0L2lwuwq'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3gGUMEwIX6XodWsYEvKSal'}, 'href': 'https://api.spotify.com/v1/artists/3gGUMEwIX6XodWsYEvKSal', 'id': '3gGUMEwIX6XodWsYEvKSal', 'name': 'YBN Nahmir', 'type': 'artist', 'uri': 'spotify:artist:3gGUMEwIX6XodWsYEvKSal'}]",https://p.scdn.co/mp3-preview/1ba819ff8c191a13cbd7a7e81037349f93f2ddd7?cid=57daa17ab8e544dcab420c4b154c56d9
4,5A6OHHy73AR5tLxgTc98zz,Black and Yellow,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/137W8MRPWKqSmrBGDBFSop'}, 'href': 'https://api.spotify.com/v1/artists/137W8MRPWKqSmrBGDBFSop', 'id': '137W8MRPWKqSmrBGDBFSop', 'name': 'Wiz Khalifa', 'type': 'artist', 'uri': 'spotify:artist:137W8MRPWKqSmrBGDBFSop'}]",https://p.scdn.co/mp3-preview/743b231f046440a6076fef4bb670f133d05651fc?cid=57daa17ab8e544dcab420c4b154c56d9
10,5WoaF1B5XIEnWfmb5NZikf,Sky Walker (feat. Travis Scott),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/360IAlyVv4PCEVjgyMZrxK'}, 'href': 'https://api.spotify.com/v1/artists/360IAlyVv4PCEVjgyMZrxK', 'id': '360IAlyVv4PCEVjgyMZrxK', 'name': 'Miguel', 'type': 'artist', 'uri': 'spotify:artist:360IAlyVv4PCEVjgyMZrxK'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY'}, 'href': 'https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY', 'id': '0Y5tJX1MQlPlqiwlOH1tJY', 'name': 'Travis Scott', 'type': 'artist', 'uri': 'spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY'}]",https://p.scdn.co/mp3-preview/346fef42d6f419f25ce78866478f3d06637b05b4?cid=57daa17ab8e544dcab420c4b154c56d9
16,4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6oMuImdp5ZcFhWP0ESe6mG'}, 'href': 'https://api.spotify.com/v1/artists/6oMuImdp5ZcFhWP0ESe6mG', 'id': '6oMuImdp5ZcFhWP0ESe6mG', 'name': 'Migos', 'type': 'artist', 'uri': 'spotify:artist:6oMuImdp5ZcFhWP0ESe6mG'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4O15NlyKLIASxsJ0PrXPfz'}, 'href': 'https://api.spotify.com/v1/artists/4O15NlyKLIASxsJ0PrXPfz', 'id': '4O15NlyKLIASxsJ0PrXPfz', 'name': 'Lil Uzi Vert', 'type': 'artist', 'uri': 'spotify:artist:4O15NlyKLIASxsJ0PrXPfz'}]",https://p.scdn.co/mp3-preview/7692f502539573458844535e54f247643d2f7157?cid=57daa17ab8e544dcab420c4b154c56d9
17,2zYs4BonN2ydkbrRk333SN,Come Closer (feat. Drake),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3tVQdUvClmAT7URs9V3rsp'}, 'href': 'https://api.spotify.com/v1/artists/3tVQdUvClmAT7URs9V3rsp', 'id': '3tVQdUvClmAT7URs9V3rsp', 'name': 'WizKid', 'type': 'artist', 'uri': 'spotify:artist:3tVQdUvClmAT7URs9V3rsp'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'}, 'href': 'https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4', 'id': '3TVXtAsR1Inumwj472S9r4', 'name': 'Drake', 'type': 'artist', 'uri': 'spotify:artist:3TVXtAsR1Inumwj472S9r4'}]",https://p.scdn.co/mp3-preview/f2542c97118b5da89ac96ccaf8b7406dc1afbf16?cid=57daa17ab8e544dcab420c4b154c56d9
20,0YSTRuZ7elW9CEBfZJW5Js,Hard For,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1gPhS1zisyXr5dHTYZyiMe'}, 'href': 'https://api.spotify.com/v1/artists/1gPhS1zisyXr5dHTYZyiMe', 'id': '1gPhS1zisyXr5dHTYZyiMe', 'name': 'Kevin Gates', 'type': 'artist', 'uri': 'spotify:artist:1gPhS1zisyXr5dHTYZyiMe'}]",https://p.scdn.co/mp3-preview/229ca528b6a0678765cef0e73a54e834a6188ebe?cid=57daa17ab8e544dcab420c4b154c56d9
21,14Ai4sTxWbQpNymhpQKuES,You Ain't a Killer,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2Xu7q46Hf02xOoEIm4E1Qs'}, 'href': 'https://api.spotify.com/v1/artists/2Xu7q46Hf02xOoEIm4E1Qs', 'id': '2Xu7q46Hf02xOoEIm4E1Qs', 'name': 'Big Pun', 'type': 'artist', 'uri': 'spotify:artist:2Xu7q46Hf02xOoEIm4E1Qs'}]",https://p.scdn.co/mp3-preview/c2947366a2f4f7e9002a4a0bf1df0c0f337043f6?cid=57daa17ab8e544dcab420c4b154c56d9
25,564oa00vY05d1uYnTEAAmE,Herside Story,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5XenQ7XfcvQdfIbpLEFaKQ'}, 'href': 'https://api.spotify.com/v1/artists/5XenQ7XfcvQdfIbpLEFaKQ', 'id': '5XenQ7XfcvQdfIbpLEFaKQ', 'name': 'GoldLink', 'type': 'artist', 'uri': 'spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3OqgnoaUHWX4ih4oAL0zzQ'}, 'href': 'https://api.spotify.com/v1/artists/3OqgnoaUHWX4ih4oAL0zzQ', 'id': '3OqgnoaUHWX4ih4oAL0zzQ', 'name': 'Hare Squead', 'type': 'artist', 'uri': 'spotify:artist:3OqgnoaUHWX4ih4oAL0zzQ'}]",https://p.scdn.co/mp3-preview/dedafbcffbbc4f435f87f1515b7932960cd7278f?cid=57daa17ab8e544dcab420c4b154c56d9
28,0kCBorRrKZkSztd9m0QI3r,Chanel (Go Get It) [feat. Gunna & Lil Baby],"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/50co4Is1HCEo8bhOyUWKpn'}, 'href': 'https://api.spotify.com/v1/artists/50co4Is1HCEo8bhOyUWKpn', 'id': '50co4Is1HCEo8bhOyUWKpn', 'name': 'Young Thug', 'type': 'artist', 'uri': 'spotify:artist:50co4Is1HCEo8bhOyUWKpn'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1xr2G8Hlx4QWmT9HaUbmoO'}, 'href': 'https://api.spotify.com/v1/artists/1xr2G8Hlx4QWmT9HaUbmoO', 'id': '1xr2G8Hlx4QWmT9HaUbmoO', 'name': 'Young Stoner Life Records', 'type': 'artist', 'uri': 'spotify:artist:1xr2G8Hlx4QWmT9HaUbmoO'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2hlmm7s2ICUX0LVIhVFlZQ'}, 'href': 'https://api.spotify.com/v1/artists/2hlmm7s2ICUX0LVIhVFlZQ', 'id': '2hlmm7s2ICUX0LVIhVFlZQ', 'name': 'Gunna', 'type': 'artist', 'uri': 'spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK'}, 'href': 'https://api.spotify.com/v1/artists/5f7VJjfbwm532GiveGC0ZK', 'id': '5f7VJjfbwm532GiveGC0ZK', 'name': 'Lil Baby', 'type': 'artist', 'uri': 'spotify:artist:5f7VJjfbwm532GiveGC0ZK'}]",https://p.scdn.co/mp3-preview/ba738f9d9a2046eaa3ee6e897d9f4e1b65cae576?cid=57daa17ab8e544dcab420c4b154c56d9
30,3eze1OsZ1rqeXkKStNfTmi,Juke Jam (feat. Justin Bieber & Towkio),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1anyVhU62p31KFi8MEzkbf'}, 'href': 'https://api.spotify.com/v1/artists/1anyVhU62p31KFi8MEzkbf', 'id': '1anyVhU62p31KFi8MEzkbf', 'name': 'Chance the Rapper', 'type': 'artist', 'uri': 'spotify:artist:1anyVhU62p31KFi8MEzkbf'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s'}, 'href': 'https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s', 'id': '1uNFoZAHBGtllmzznpCI3s', 'name': 'Justin Bieber', 'type': 'artist', 'uri': 'spotify:artist:1uNFoZAHBGtllmzznpCI3s'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/23sYU61n9f1CzYi8NJhAXS'}, 'href': 'https://api.spotify.com/v1/artists/23sYU61n9f1CzYi8NJhAXS', 'id': '23sYU61n9f1CzYi8NJhAXS', 'name': 'Towkio', 'type': 'artist', 'uri': 'spotify:artist:23sYU61n9f1CzYi8NJhAXS'}]",https://p.scdn.co/mp3-preview/c60b5e2b4e87e46243c83c1fa0c3a5f0cb2f890b?cid=57daa17ab8e544dcab420c4b154c56d9
