,Track_ID,Track_Name,Track_Artist,Preview_URL
0,2M55R2A9IAhLdsCGFj8r8k,I'm Every Woman,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6mQfAAqZGBzIfrmlZCeaYT'}, 'href': 'https://api.spotify.com/v1/artists/6mQfAAqZGBzIfrmlZCeaYT', 'id': '6mQfAAqZGBzIfrmlZCeaYT', 'name': 'Chaka Khan', 'type': 'artist', 'uri': 'spotify:artist:6mQfAAqZGBzIfrmlZCeaYT'}]",https://p.scdn.co/mp3-preview/4e7ba67fbaac1b593bf5a70fffd57f0bd1673fa7?cid=57daa17ab8e544dcab420c4b154c56d9
1,62zFEHfAYl5kdHYOivj4BC,International Love (feat. Chris Brown),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0TnOYISbd1XYRBk9myaseg'}, 'href': 'https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg', 'id': '0TnOYISbd1XYRBk9myaseg', 'name': 'Pitbull', 'type': 'artist', 'uri': 'spotify:artist:0TnOYISbd1XYRBk9myaseg'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z'}, 'href': 'https://api.spotify.com/v1/artists/7bXgB6jMjp9ATFy66eO08Z', 'id': '7bXgB6jMjp9ATFy66eO08Z', 'name': 'Chris Brown', 'type': 'artist', 'uri': 'spotify:artist:7bXgB6jMjp9ATFy66eO08Z'}]",https://p.scdn.co/mp3-preview/23235746b5a67425fe870638ede360e7f4177f00?cid=57daa17ab8e544dcab420c4b154c56d9
3,6UjlpJhUqOQqv0hrb38IDI,Best of My Love,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/64CuUOOirKmdAYLQSfaOyr'}, 'href': 'https://api.spotify.com/v1/artists/64CuUOOirKmdAYLQSfaOyr', 'id': '64CuUOOirKmdAYLQSfaOyr', 'name': 'The Emotions', 'type': 'artist', 'uri': 'spotify:artist:64CuUOOirKmdAYLQSfaOyr'}]",https://p.scdn.co/mp3-preview/e20c1aaa3a9cd0654d3315b31cf9d7079f244d63?cid=57daa17ab8e544dcab420c4b154c56d9
4,0D2VYiRlBv43asKUgieZaM,Jubel - Radio Edit,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1L9i6qZYIGQedgM9QLSyzb'}, 'href': 'https://api.spotify.com/v1/artists/1L9i6qZYIGQedgM9QLSyzb', 'id': '1L9i6qZYIGQedgM9QLSyzb', 'name': 'Klingande', 'type': 'artist', 'uri': 'spotify:artist:1L9i6qZYIGQedgM9QLSyzb'}]",https://p.scdn.co/mp3-preview/609d21d24ab7a92e5912c416e4662458098ec6db?cid=57daa17ab8e544dcab420c4b154c56d9
8,20zOIoex7YchUh87d8tlvg,Boogie Nights,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6D7h7R79IZjqJC2GM2wzyY'}, 'href': 'https://api.spotify.com/v1/artists/6D7h7R79IZjqJC2GM2wzyY', 'id': '6D7h7R79IZjqJC2GM2wzyY', 'name': 'Heatwave', 'type': 'artist', 'uri': 'spotify:artist:6D7h7R79IZjqJC2GM2wzyY'}]",https://p.scdn.co/mp3-preview/2675fa781631556b653a2222321bff3a1168acc8?cid=57daa17ab8e544dcab420c4b154c56d9
11,5i7fZq3chLyCHo3VeB6goD,First of the Year (Equinox),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5he5w2lnU9x7JFhnwcekXX'}, 'href': 'https://api.spotify.com/v1/artists/5he5w2lnU9x7JFhnwcekXX', 'id': '5he5w2lnU9x7JFhnwcekXX', 'name': 'Skrillex', 'type': 'artist', 'uri': 'spotify:artist:5he5w2lnU9x7JFhnwcekXX'}]",https://p.scdn.co/mp3-preview/717e36da79db34974f0b79d810b2945ea4006a1a?cid=57daa17ab8e544dcab420c4b154c56d9
13,5PsMbxhgWpJMsouEfDTX6r,Locked out of Heaven,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C'}, 'href': 'https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C', 'id': '0du5cEVh5yTK9QJze8zA0C', 'name': 'Bruno Mars', 'type': 'artist', 'uri': 'spotify:artist:0du5cEVh5yTK9QJze8zA0C'}]",https://p.scdn.co/mp3-preview/c647489f28d840b545b90e10067012f504dc7b68?cid=57daa17ab8e544dcab420c4b154c56d9
15,2DYtBXueUkZyUZAHKJAAIs,We Are Family - 2006 Remaster,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6gkWznnJkdkwRPVcmnrays'}, 'href': 'https://api.spotify.com/v1/artists/6gkWznnJkdkwRPVcmnrays', 'id': '6gkWznnJkdkwRPVcmnrays', 'name': 'Sister Sledge', 'type': 'artist', 'uri': 'spotify:artist:6gkWznnJkdkwRPVcmnrays'}]",https://p.scdn.co/mp3-preview/45aaea5d2d0b61de6e9ee74aecae131af969424f?cid=57daa17ab8e544dcab420c4b154c56d9
19,5J2UfqBylH8jDQZJnxby81,Sean den förste Banan,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4EyhwDFo0iKdv2nMUM4m1Q'}, 'href': 'https://api.spotify.com/v1/artists/4EyhwDFo0iKdv2nMUM4m1Q', 'id': '4EyhwDFo0iKdv2nMUM4m1Q', 'name': 'Sean Banan', 'type': 'artist', 'uri': 'spotify:artist:4EyhwDFo0iKdv2nMUM4m1Q'}]",https://p.scdn.co/mp3-preview/efb64c7d08ad4d0baf7b6b3c42faf071e3854305?cid=57daa17ab8e544dcab420c4b154c56d9
22,4d2hD63oUGU3s7L66JD0BE,Dance Again,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2DlGxzQSjYe5N6G9nkYghR'}, 'href': 'https://api.spotify.com/v1/artists/2DlGxzQSjYe5N6G9nkYghR', 'id': '2DlGxzQSjYe5N6G9nkYghR', 'name': 'Jennifer Lopez', 'type': 'artist', 'uri': 'spotify:artist:2DlGxzQSjYe5N6G9nkYghR'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0TnOYISbd1XYRBk9myaseg'}, 'href': 'https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg', 'id': '0TnOYISbd1XYRBk9myaseg', 'name': 'Pitbull', 'type': 'artist', 'uri': 'spotify:artist:0TnOYISbd1XYRBk9myaseg'}]",https://p.scdn.co/mp3-preview/2d288b4a7117b800a3bf561a3686f39fbe17a40a?cid=57daa17ab8e544dcab420c4b154c56d9
