,Track_ID,Track_Name,Track_Artist,Preview_URL
0,2Cd9iWfcOpGDHLz6tVA3G4,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0EmeFodog0BfCgMzAIvKQp'}, 'href': 'https://api.spotify.com/v1/artists/0EmeFodog0BfCgMzAIvKQp', 'id': '0EmeFodog0BfCgMzAIvKQp', 'name': 'Shakira', 'type': 'artist', 'uri': 'spotify:artist:0EmeFodog0BfCgMzAIvKQp'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7AcV1lk8Zrgo1691PDWEle'}, 'href': 'https://api.spotify.com/v1/artists/7AcV1lk8Zrgo1691PDWEle', 'id': '7AcV1lk8Zrgo1691PDWEle', 'name': 'Freshlyground', 'type': 'artist', 'uri': 'spotify:artist:7AcV1lk8Zrgo1691PDWEle'}]",https://p.scdn.co/mp3-preview/f01830f7be6c8b654d44c8f7a1f1d06756ab920f?cid=57daa17ab8e544dcab420c4b154c56d9
3,0s45sL9DLOcro6VbmagQKl,Rock the Boat,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6PpGPIrFf3LM7Q77eR4Bts'}, 'href': 'https://api.spotify.com/v1/artists/6PpGPIrFf3LM7Q77eR4Bts', 'id': '6PpGPIrFf3LM7Q77eR4Bts', 'name': 'Hues Corporation', 'type': 'artist', 'uri': 'spotify:artist:6PpGPIrFf3LM7Q77eR4Bts'}]",https://p.scdn.co/mp3-preview/d9acc6522961aa4f9c510bff88ffe00184b25856?cid=57daa17ab8e544dcab420c4b154c56d9
4,3XIEWK1V9n25PS9Vb6axj5,Born to Be Alive,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1CcEgi464SWZsKY5579u7z'}, 'href': 'https://api.spotify.com/v1/artists/1CcEgi464SWZsKY5579u7z', 'id': '1CcEgi464SWZsKY5579u7z', 'name': 'Patrick Hernandez', 'type': 'artist', 'uri': 'spotify:artist:1CcEgi464SWZsKY5579u7z'}]",https://p.scdn.co/mp3-preview/5ec427ac93acfe644dbc17c16e23c6a03baeb632?cid=57daa17ab8e544dcab420c4b154c56d9
5,4rwpZEcnalkuhPyGkEdhu0,Scary Monsters and Nice Sprites,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5he5w2lnU9x7JFhnwcekXX'}, 'href': 'https://api.spotify.com/v1/artists/5he5w2lnU9x7JFhnwcekXX', 'id': '5he5w2lnU9x7JFhnwcekXX', 'name': 'Skrillex', 'type': 'artist', 'uri': 'spotify:artist:5he5w2lnU9x7JFhnwcekXX'}]",https://p.scdn.co/mp3-preview/fd1cb014b2eb27e13502c1fb2ef3514dbe713a03?cid=57daa17ab8e544dcab420c4b154c56d9
6,1wRHNlEjTmpaXv99BFAGnV,Got To Be Real - Single Version,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6UfoTQXaV3DuqtDVjZIxwZ'}, 'href': 'https://api.spotify.com/v1/artists/6UfoTQXaV3DuqtDVjZIxwZ', 'id': '6UfoTQXaV3DuqtDVjZIxwZ', 'name': 'Cheryl Lynn', 'type': 'artist', 'uri': 'spotify:artist:6UfoTQXaV3DuqtDVjZIxwZ'}]",https://p.scdn.co/mp3-preview/5316488d9a73562b5d247a9fa8a0c736349ff127?cid=57daa17ab8e544dcab420c4b154c56d9
7,3UN6cIn3VIyg0z1LCuFSum,Without You (feat. Usher),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai'}, 'href': 'https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai', 'id': '1Cs0zKBU1kc0i8ypK3B9ai', 'name': 'David Guetta', 'type': 'artist', 'uri': 'spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj'}, 'href': 'https://api.spotify.com/v1/artists/23zg3TcAtWQy7J6upgbUnj', 'id': '23zg3TcAtWQy7J6upgbUnj', 'name': 'Usher', 'type': 'artist', 'uri': 'spotify:artist:23zg3TcAtWQy7J6upgbUnj'}]",https://p.scdn.co/mp3-preview/53e072ec1b741fd584c4688bfd1657a60c56a803?cid=57daa17ab8e544dcab420c4b154c56d9
8,0LqPXq2pKXnydc96PvTK3v,"Everybody Dance - 12"" Mix","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0Xf8oDAJYd2D0k3NLI19OV'}, 'href': 'https://api.spotify.com/v1/artists/0Xf8oDAJYd2D0k3NLI19OV', 'id': '0Xf8oDAJYd2D0k3NLI19OV', 'name': 'CHIC', 'type': 'artist', 'uri': 'spotify:artist:0Xf8oDAJYd2D0k3NLI19OV'}]",https://p.scdn.co/mp3-preview/61fe892f5c9757fa00871d4d6b409ff94730da39?cid=57daa17ab8e544dcab420c4b154c56d9
10,4msPRe3NEDVL6dsBcE7AhL,Get Down Tonight,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3mQBpAOMWYqAZyxtyeo4Lo'}, 'href': 'https://api.spotify.com/v1/artists/3mQBpAOMWYqAZyxtyeo4Lo', 'id': '3mQBpAOMWYqAZyxtyeo4Lo', 'name': 'KC & The Sunshine Band', 'type': 'artist', 'uri': 'spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo'}]",https://p.scdn.co/mp3-preview/a4b1e550d564f7c692a9c34861d3ed1bb5f540b1?cid=57daa17ab8e544dcab420c4b154c56d9
11,7zpm7lTY2EZn7AfFm3mGg2,Lost in Music,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6gkWznnJkdkwRPVcmnrays'}, 'href': 'https://api.spotify.com/v1/artists/6gkWznnJkdkwRPVcmnrays', 'id': '6gkWznnJkdkwRPVcmnrays', 'name': 'Sister Sledge', 'type': 'artist', 'uri': 'spotify:artist:6gkWznnJkdkwRPVcmnrays'}]",https://p.scdn.co/mp3-preview/2b420bf751bbc59feb79335fce09de74bbb36d44?cid=57daa17ab8e544dcab420c4b154c56d9
16,619bJQ9uDi8dnXzLebFI7y,When Love Takes Over (feat. Kelly Rowland),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai'}, 'href': 'https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai', 'id': '1Cs0zKBU1kc0i8ypK3B9ai', 'name': 'David Guetta', 'type': 'artist', 'uri': 'spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai'}]",https://p.scdn.co/mp3-preview/f9877d70c57311941dca4782fbaa41efce514c67?cid=57daa17ab8e544dcab420c4b154c56d9
18,7iuT6GbzCKoyNVhbLaendu,Never Too Much,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/19y5MFBH7gohEdGwKM7QsP'}, 'href': 'https://api.spotify.com/v1/artists/19y5MFBH7gohEdGwKM7QsP', 'id': '19y5MFBH7gohEdGwKM7QsP', 'name': 'Luther Vandross', 'type': 'artist', 'uri': 'spotify:artist:19y5MFBH7gohEdGwKM7QsP'}]",https://p.scdn.co/mp3-preview/904c1a43730cccd3be5a9ec8e04ec6374634744d?cid=57daa17ab8e544dcab420c4b154c56d9
19,3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us - feat. Ray Dalton,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5BcAKTbp20cv7tC5VqPFoC'}, 'href': 'https://api.spotify.com/v1/artists/5BcAKTbp20cv7tC5VqPFoC', 'id': '5BcAKTbp20cv7tC5VqPFoC', 'name': 'Macklemore & Ryan Lewis', 'type': 'artist', 'uri': 'spotify:artist:5BcAKTbp20cv7tC5VqPFoC'}]",https://p.scdn.co/mp3-preview/1f826380a449ec9a8bae45967d908fffd7ff5222?cid=57daa17ab8e544dcab420c4b154c56d9
20,2lYe3AhO4dJhBMsvk9uBkw,That's the Way (I Like It),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3mQBpAOMWYqAZyxtyeo4Lo'}, 'href': 'https://api.spotify.com/v1/artists/3mQBpAOMWYqAZyxtyeo4Lo', 'id': '3mQBpAOMWYqAZyxtyeo4Lo', 'name': 'KC & The Sunshine Band', 'type': 'artist', 'uri': 'spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo'}]",https://p.scdn.co/mp3-preview/b932b066df9e4929089e5bf16587b897aebf626e?cid=57daa17ab8e544dcab420c4b154c56d9
21,2DX0WG5OGLQLaXb41Cq1IA,I Will Survive - Remastered,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6V6WCgi7waF55bJmylC4H5'}, 'href': 'https://api.spotify.com/v1/artists/6V6WCgi7waF55bJmylC4H5', 'id': '6V6WCgi7waF55bJmylC4H5', 'name': 'Gloria Gaynor', 'type': 'artist', 'uri': 'spotify:artist:6V6WCgi7waF55bJmylC4H5'}]",https://p.scdn.co/mp3-preview/136f43b54553a7ead7cb3c40762a5da0c5b6908e?cid=57daa17ab8e544dcab420c4b154c56d9
22,3LyetI45on2w6hV1H3agi9,"So Many Men, So Little Time","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0y6KR72CWZyrsYZr8iAq4G'}, 'href': 'https://api.spotify.com/v1/artists/0y6KR72CWZyrsYZr8iAq4G', 'id': '0y6KR72CWZyrsYZr8iAq4G', 'name': 'Miquel Brown', 'type': 'artist', 'uri': 'spotify:artist:0y6KR72CWZyrsYZr8iAq4G'}]",https://p.scdn.co/mp3-preview/8de3092dc7b93e8c806fb4281e83500c02b96ae5?cid=57daa17ab8e544dcab420c4b154c56d9
23,7EbCmcgzfCSdyjPQgu2877,Keep On Dancing,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5teuZRCtxzfuYW98XOwtxu'}, 'href': 'https://api.spotify.com/v1/artists/5teuZRCtxzfuYW98XOwtxu', 'id': '5teuZRCtxzfuYW98XOwtxu', 'name': 'The Haggis Horns', 'type': 'artist', 'uri': 'spotify:artist:5teuZRCtxzfuYW98XOwtxu'}]",https://p.scdn.co/mp3-preview/0a0c7660ea925d2fd6aa8c9bba55ceb5a8a7231b?cid=57daa17ab8e544dcab420c4b154c56d9
25,5HOpkTTVcmZHnthgyxrIL8,The Fox (What Does the Fox Say?),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2lEOFtf3cCyzomQcMHJGfZ'}, 'href': 'https://api.spotify.com/v1/artists/2lEOFtf3cCyzomQcMHJGfZ', 'id': '2lEOFtf3cCyzomQcMHJGfZ', 'name': 'Ylvis', 'type': 'artist', 'uri': 'spotify:artist:2lEOFtf3cCyzomQcMHJGfZ'}]",https://p.scdn.co/mp3-preview/42f7a502c081b3737334f328a9481940971e13fb?cid=57daa17ab8e544dcab420c4b154c56d9
26,3GGcwG519BTMdvMeFy7meT,Lady Marmalade,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0ty0xha1dbprYIUAQufkFn'}, 'href': 'https://api.spotify.com/v1/artists/0ty0xha1dbprYIUAQufkFn', 'id': '0ty0xha1dbprYIUAQufkFn', 'name': 'Patti LaBelle', 'type': 'artist', 'uri': 'spotify:artist:0ty0xha1dbprYIUAQufkFn'}]",https://p.scdn.co/mp3-preview/da137cbab59ef54b81ed342cb9c590a7d3f33389?cid=57daa17ab8e544dcab420c4b154c56d9
33,6KlnQC66NiJTdO88aL62SF,Shame,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4JCt4xrbbBB9blkKwNlcJ7'}, 'href': 'https://api.spotify.com/v1/artists/4JCt4xrbbBB9blkKwNlcJ7', 'id': '4JCt4xrbbBB9blkKwNlcJ7', 'name': 'Evelyn ""Champagne"" King', 'type': 'artist', 'uri': 'spotify:artist:4JCt4xrbbBB9blkKwNlcJ7'}]",https://p.scdn.co/mp3-preview/8b07120f2f9c91561f225e9c7a4d137199f911b7?cid=57daa17ab8e544dcab420c4b154c56d9
