Track_ID,Track_Name,Track_Artist,Preview_URL
0Altlm3kLPob56k2qqR4i2,Money and the Power,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6KZDXtSj0SzGOV705nNeh3'}, 'href': 'https://api.spotify.com/v1/artists/6KZDXtSj0SzGOV705nNeh3', 'id': '6KZDXtSj0SzGOV705nNeh3', 'name': 'Kid Ink', 'type': 'artist', 'uri': 'spotify:artist:6KZDXtSj0SzGOV705nNeh3'}]",https://p.scdn.co/mp3-preview/fa3cfc2b25fb07b5baeb668cb526c519c04c5811?cid=57daa17ab8e544dcab420c4b154c56d9
4GXl8l1MfZPf2GvpyRPJBf,pick up the phone,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/50co4Is1HCEo8bhOyUWKpn'}, 'href': 'https://api.spotify.com/v1/artists/50co4Is1HCEo8bhOyUWKpn', 'id': '50co4Is1HCEo8bhOyUWKpn', 'name': 'Young Thug', 'type': 'artist', 'uri': 'spotify:artist:50co4Is1HCEo8bhOyUWKpn'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY'}, 'href': 'https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY', 'id': '0Y5tJX1MQlPlqiwlOH1tJY', 'name': 'Travis Scott', 'type': 'artist', 'uri': 'spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY'}]",https://p.scdn.co/mp3-preview/20b453e9c63f9b0789a50f9048d6a9a7c43ef615?cid=57daa17ab8e544dcab420c4b154c56d9
5n5uyFpfopa4mNdSN0gTaH,Wing$,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5BcAKTbp20cv7tC5VqPFoC'}, 'href': 'https://api.spotify.com/v1/artists/5BcAKTbp20cv7tC5VqPFoC', 'id': '5BcAKTbp20cv7tC5VqPFoC', 'name': 'Macklemore & Ryan Lewis', 'type': 'artist', 'uri': 'spotify:artist:5BcAKTbp20cv7tC5VqPFoC'}]",https://p.scdn.co/mp3-preview/c395f9bd916e0eedd760b83c54131f985e94598e?cid=57daa17ab8e544dcab420c4b154c56d9
0msneWUDfYKAGrifwEDhtl,San Francisco Knights,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0av074qUwLn5eyzwqoq3xh'}, 'href': 'https://api.spotify.com/v1/artists/0av074qUwLn5eyzwqoq3xh', 'id': '0av074qUwLn5eyzwqoq3xh', 'name': 'People Under The Stairs', 'type': 'artist', 'uri': 'spotify:artist:0av074qUwLn5eyzwqoq3xh'}]",https://p.scdn.co/mp3-preview/530253b09e94ed8fb5cb1be48119e68ba5993b1e?cid=57daa17ab8e544dcab420c4b154c56d9
0ySCYRXVugL9xDBecGc0jr,It Ain't Hard to Tell,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/20qISvAhX20dpIbOOzGK3q'}, 'href': 'https://api.spotify.com/v1/artists/20qISvAhX20dpIbOOzGK3q', 'id': '20qISvAhX20dpIbOOzGK3q', 'name': 'Nas', 'type': 'artist', 'uri': 'spotify:artist:20qISvAhX20dpIbOOzGK3q'}]",https://p.scdn.co/mp3-preview/ca9bf2cdf6d177d314cba190318f8947ff513e42?cid=57daa17ab8e544dcab420c4b154c56d9
19FsxX4RthRMZGfXkImdCb,Notorious Thugs - 2014 Remaster,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5me0Irg2ANcsgc93uaYrpb'}, 'href': 'https://api.spotify.com/v1/artists/5me0Irg2ANcsgc93uaYrpb', 'id': '5me0Irg2ANcsgc93uaYrpb', 'name': 'The Notorious B.I.G.', 'type': 'artist', 'uri': 'spotify:artist:5me0Irg2ANcsgc93uaYrpb'}]",https://p.scdn.co/mp3-preview/7a0940b3428009795dbe63e9f699c508618f6432?cid=57daa17ab8e544dcab420c4b154c56d9
2XaInsPPUkZRkY4uFJ3AHK,Met Gala (feat. Offset),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/13y7CgLHjMVRMDqxdx0Xdo'}, 'href': 'https://api.spotify.com/v1/artists/13y7CgLHjMVRMDqxdx0Xdo', 'id': '13y7CgLHjMVRMDqxdx0Xdo', 'name': 'Gucci Mane', 'type': 'artist', 'uri': 'spotify:artist:13y7CgLHjMVRMDqxdx0Xdo'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4DdkRBBYG6Yk9Ka8tdJ9BW'}, 'href': 'https://api.spotify.com/v1/artists/4DdkRBBYG6Yk9Ka8tdJ9BW', 'id': '4DdkRBBYG6Yk9Ka8tdJ9BW', 'name': 'Offset', 'type': 'artist', 'uri': 'spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW'}]",https://p.scdn.co/mp3-preview/7f698a169e05adf34ce9d48ba86dc1a96525550d?cid=57daa17ab8e544dcab420c4b154c56d9
0jx8zY5JQsS4YEQcfkoc5C,Angels (feat. Saba),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1anyVhU62p31KFi8MEzkbf'}, 'href': 'https://api.spotify.com/v1/artists/1anyVhU62p31KFi8MEzkbf', 'id': '1anyVhU62p31KFi8MEzkbf', 'name': 'Chance the Rapper', 'type': 'artist', 'uri': 'spotify:artist:1anyVhU62p31KFi8MEzkbf'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7Hjbimq43OgxaBRpFXic4x'}, 'href': 'https://api.spotify.com/v1/artists/7Hjbimq43OgxaBRpFXic4x', 'id': '7Hjbimq43OgxaBRpFXic4x', 'name': 'Saba', 'type': 'artist', 'uri': 'spotify:artist:7Hjbimq43OgxaBRpFXic4x'}]",https://p.scdn.co/mp3-preview/1ab479cbf159948686d6ce1fa2a2be4b5a9eb4d2?cid=57daa17ab8e544dcab420c4b154c56d9
6FwiZxKXipsyGw2CVZOzol,High End (feat. Future & Young Thug),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z'}, 'href': 'https://api.spotify.com/v1/artists/7bXgB6jMjp9ATFy66eO08Z', 'id': '7bXgB6jMjp9ATFy66eO08Z', 'name': 'Chris Brown', 'type': 'artist', 'uri': 'spotify:artist:7bXgB6jMjp9ATFy66eO08Z'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i'}, 'href': 'https://api.spotify.com/v1/artists/1RyvyyTE3xzB2ZywiAwp0i', 'id': '1RyvyyTE3xzB2ZywiAwp0i', 'name': 'Future', 'type': 'artist', 'uri': 'spotify:artist:1RyvyyTE3xzB2ZywiAwp0i'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/50co4Is1HCEo8bhOyUWKpn'}, 'href': 'https://api.spotify.com/v1/artists/50co4Is1HCEo8bhOyUWKpn', 'id': '50co4Is1HCEo8bhOyUWKpn', 'name': 'Young Thug', 'type': 'artist', 'uri': 'spotify:artist:50co4Is1HCEo8bhOyUWKpn'}]",https://p.scdn.co/mp3-preview/095c564b9c4131641ad95435df3d68070a2f0549?cid=57daa17ab8e544dcab420c4b154c56d9
0wSeTpuEBS5uloIJ9tGhFi,Hop Out (feat. A$AP Ferg),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0tPjSrb43a58uznKru1k2P'}, 'href': 'https://api.spotify.com/v1/artists/0tPjSrb43a58uznKru1k2P', 'id': '0tPjSrb43a58uznKru1k2P', 'name': 'A$AP Twelvyy', 'type': 'artist', 'uri': 'spotify:artist:0tPjSrb43a58uznKru1k2P'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5dHt1vcEm9qb8fCyLcB3HL'}, 'href': 'https://api.spotify.com/v1/artists/5dHt1vcEm9qb8fCyLcB3HL', 'id': '5dHt1vcEm9qb8fCyLcB3HL', 'name': 'A$AP Ferg', 'type': 'artist', 'uri': 'spotify:artist:5dHt1vcEm9qb8fCyLcB3HL'}]",https://p.scdn.co/mp3-preview/dbbe8f54cbbe3b9332eff65b3e30684de0e3430f?cid=57daa17ab8e544dcab420c4b154c56d9
