,Track_ID,Track_Name,Track_Artist,Preview_URL
20,0DDgwlJDTQ6U3LPzUyvLu5,Never Can Say Goodbye - Remastered,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6V6WCgi7waF55bJmylC4H5'}, 'href': 'https://api.spotify.com/v1/artists/6V6WCgi7waF55bJmylC4H5', 'id': '6V6WCgi7waF55bJmylC4H5', 'name': 'Gloria Gaynor', 'type': 'artist', 'uri': 'spotify:artist:6V6WCgi7waF55bJmylC4H5'}]",https://p.scdn.co/mp3-preview/9b9305d37539d1b1b34d0858a0f5608dee6b32b0?cid=57daa17ab8e544dcab420c4b154c56d9
23,3IBYB8YMt8DxevRVTB7xPi,Boogie Nights,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6D7h7R79IZjqJC2GM2wzyY'}, 'href': 'https://api.spotify.com/v1/artists/6D7h7R79IZjqJC2GM2wzyY', 'id': '6D7h7R79IZjqJC2GM2wzyY', 'name': 'Heatwave', 'type': 'artist', 'uri': 'spotify:artist:6D7h7R79IZjqJC2GM2wzyY'}]",https://p.scdn.co/mp3-preview/393c977aacff250104f8b6a8e5352747b4807fbb?cid=57daa17ab8e544dcab420c4b154c56d9
24,01gDLZsi0j5fWC28FLPNO8,Move on Up - Extended Version,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2AV6XDIs32ofIJhkkDevjm'}, 'href': 'https://api.spotify.com/v1/artists/2AV6XDIs32ofIJhkkDevjm', 'id': '2AV6XDIs32ofIJhkkDevjm', 'name': 'Curtis Mayfield', 'type': 'artist', 'uri': 'spotify:artist:2AV6XDIs32ofIJhkkDevjm'}]",https://p.scdn.co/mp3-preview/070c80b7f6d20ada50ea676d9400a7b0de85a34e?cid=57daa17ab8e544dcab420c4b154c56d9
25,39yXycOGCBqgbQNfMPd5fy,Tell It to My Heart,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/32lVGr0fSRGT6okLKHiP68'}, 'href': 'https://api.spotify.com/v1/artists/32lVGr0fSRGT6okLKHiP68', 'id': '32lVGr0fSRGT6okLKHiP68', 'name': 'Taylor Dayne', 'type': 'artist', 'uri': 'spotify:artist:32lVGr0fSRGT6okLKHiP68'}]",https://p.scdn.co/mp3-preview/727d9f4b499832adf6759a2118144a61fab79c6f?cid=57daa17ab8e544dcab420c4b154c56d9
29,7zpm7lTY2EZn7AfFm3mGg2,Lost in Music,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6gkWznnJkdkwRPVcmnrays'}, 'href': 'https://api.spotify.com/v1/artists/6gkWznnJkdkwRPVcmnrays', 'id': '6gkWznnJkdkwRPVcmnrays', 'name': 'Sister Sledge', 'type': 'artist', 'uri': 'spotify:artist:6gkWznnJkdkwRPVcmnrays'}]",https://p.scdn.co/mp3-preview/2b420bf751bbc59feb79335fce09de74bbb36d44?cid=57daa17ab8e544dcab420c4b154c56d9
33,3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us - feat. Ray Dalton,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5BcAKTbp20cv7tC5VqPFoC'}, 'href': 'https://api.spotify.com/v1/artists/5BcAKTbp20cv7tC5VqPFoC', 'id': '5BcAKTbp20cv7tC5VqPFoC', 'name': 'Macklemore & Ryan Lewis', 'type': 'artist', 'uri': 'spotify:artist:5BcAKTbp20cv7tC5VqPFoC'}]",https://p.scdn.co/mp3-preview/1f826380a449ec9a8bae45967d908fffd7ff5222?cid=57daa17ab8e544dcab420c4b154c56d9
34,20pPweU5sbfOOB1Qk5KCTx,Dance Across the Floor - Edit,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6jcPHv7qVfqysvBT7Jmn7K'}, 'href': 'https://api.spotify.com/v1/artists/6jcPHv7qVfqysvBT7Jmn7K', 'id': '6jcPHv7qVfqysvBT7Jmn7K', 'name': 'Jimmy ""Bo"" Horne', 'type': 'artist', 'uri': 'spotify:artist:6jcPHv7qVfqysvBT7Jmn7K'}]",https://p.scdn.co/mp3-preview/88fd848d2bba0d41025216a89329301ac1682270?cid=57daa17ab8e544dcab420c4b154c56d9
35,6VRhkROS2SZHGlp0pxndbJ,Bangarang (feat. Sirah),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5he5w2lnU9x7JFhnwcekXX'}, 'href': 'https://api.spotify.com/v1/artists/5he5w2lnU9x7JFhnwcekXX', 'id': '5he5w2lnU9x7JFhnwcekXX', 'name': 'Skrillex', 'type': 'artist', 'uri': 'spotify:artist:5he5w2lnU9x7JFhnwcekXX'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3oAazIwC0nAYkOKVQPUC38'}, 'href': 'https://api.spotify.com/v1/artists/3oAazIwC0nAYkOKVQPUC38', 'id': '3oAazIwC0nAYkOKVQPUC38', 'name': 'Sirah', 'type': 'artist', 'uri': 'spotify:artist:3oAazIwC0nAYkOKVQPUC38'}]",https://p.scdn.co/mp3-preview/569d7afebba42141ae4ce4e7bb2012b0b7c0bb51?cid=57daa17ab8e544dcab420c4b154c56d9
37,1Ppwc43WYFEBXw2n1ePhDY,Footloose,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3Y3xIwWyq5wnNHPp5gPjOW'}, 'href': 'https://api.spotify.com/v1/artists/3Y3xIwWyq5wnNHPp5gPjOW', 'id': '3Y3xIwWyq5wnNHPp5gPjOW', 'name': 'Kenny Loggins', 'type': 'artist', 'uri': 'spotify:artist:3Y3xIwWyq5wnNHPp5gPjOW'}]",https://p.scdn.co/mp3-preview/326b379d2c682fc7caa18929acb11a1351206475?cid=57daa17ab8e544dcab420c4b154c56d9
39,1eJNe0mul5KtNv8Wnj18pR,I Love to Love,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7Jbs4wPCLaKXPxrTxZ2zaa'}, 'href': 'https://api.spotify.com/v1/artists/7Jbs4wPCLaKXPxrTxZ2zaa', 'id': '7Jbs4wPCLaKXPxrTxZ2zaa', 'name': 'Tina Charles', 'type': 'artist', 'uri': 'spotify:artist:7Jbs4wPCLaKXPxrTxZ2zaa'}]",https://p.scdn.co/mp3-preview/fd124a31160c030e9364063d022cb77a3a6d8c0b?cid=57daa17ab8e544dcab420c4b154c56d9
