,Unnamed: 0,Genre,Track Name,Track ID,Preview_link
218,18,jazz,Canales' Cabeza,0us5TI6Wi0gVyOZMwXbOnO,https://p.scdn.co/mp3-preview/4af2b1716b388a4f4c9dcd9a13c6270fb5d8aa2e?cid=577c3414ccf54576a289735f10e3ee13
223,23,jazz,All Blues,5o3DSHw1ORhM3lWxqGRvEf,https://p.scdn.co/mp3-preview/cac45a036b5d4efb9a852b51bcc13cd4d307e03b?cid=577c3414ccf54576a289735f10e3ee13
229,29,jazz,Lazy Afternoon,2VNuGy6fugKMyujKri5Elm,https://p.scdn.co/mp3-preview/0b747ad6c806f77af5eb9d6ee7e2ecfbbcf0996a?cid=577c3414ccf54576a289735f10e3ee13
230,30,jazz,I'll Wait and Pray,1Rph9i0FWKDa9Aq9H4iiMx,https://p.scdn.co/mp3-preview/cc6e2784e596cb64ccd8b1ba4e63d4d4d352840b?cid=577c3414ccf54576a289735f10e3ee13
232,32,jazz,Rockit,2nWHzbBWBOePUvAImQv2So,https://p.scdn.co/mp3-preview/8ec1fd7256266c76bd6dd34119073e3972544301?cid=577c3414ccf54576a289735f10e3ee13
235,35,jazz,Second Line,2BYWA1m6cPvLGxoguqVsRn,https://p.scdn.co/mp3-preview/bf17ae52b0083113c4afe075bc8ba510ad9ab96b?cid=577c3414ccf54576a289735f10e3ee13
236,36,jazz,Blue Nile,6JWOLYMYthEM6uXO5xlW6k,https://p.scdn.co/mp3-preview/2de1d5c9be4ea69f04130087e7baea9438d0c5f6?cid=577c3414ccf54576a289735f10e3ee13
237,37,jazz,Dat Dere,0TCmgtbTtbLA0OW0EhfEFb,https://p.scdn.co/mp3-preview/0ba43fb37997305a727a63cbd6608a37da666dc0?cid=577c3414ccf54576a289735f10e3ee13
238,38,jazz,Blue bossa,4LbJFM4QRgvKoYU7nzj3Dx,https://p.scdn.co/mp3-preview/fac5807e782ba58929c5e95031148e7a31f8c1ae?cid=577c3414ccf54576a289735f10e3ee13
239,39,jazz,I'll Let You Know,3s2RFp5hU6jEvAmfZrnrAi,https://p.scdn.co/mp3-preview/bdb9a83f15bd25de78738d4ccae3af5536d92887?cid=577c3414ccf54576a289735f10e3ee13
241,41,jazz,Miss D. D.,7uAJuE1qVnXD3zasCqnhOu,https://p.scdn.co/mp3-preview/73197c32b981b44e50b9764c636923ffcb47442c?cid=577c3414ccf54576a289735f10e3ee13
242,42,jazz,And Here We Test Our Powers Of Observation,2fNCSdonK3E2ODMvAUx92e,https://p.scdn.co/mp3-preview/4d7c1d85ee58c42c4435f3d3a0be759baaf94cb2?cid=577c3414ccf54576a289735f10e3ee13
246,46,jazz,Birth,1N8kgdsicbNkQE0QettJvg,https://p.scdn.co/mp3-preview/423b0b6e25daebefc2d6d4d351794986843a0b73?cid=577c3414ccf54576a289735f10e3ee13
247,47,jazz,Blue Monk,3Us7ZYk1MxPMvQu5mnI0Zw,https://p.scdn.co/mp3-preview/e32a6a1dec42ccaf8127a93f496eae9cf435551d?cid=577c3414ccf54576a289735f10e3ee13
249,49,jazz,Doubts 2,1ohoaGnztWcfczuRDceRdn,https://p.scdn.co/mp3-preview/e53b81a03fc11e57414f4fb0cd3935d4cae15d64?cid=577c3414ccf54576a289735f10e3ee13
252,52,jazz,Both Sides Now,1pjATX7sbd6Y4jMVqIvzHk,https://p.scdn.co/mp3-preview/aa20d694c9af36089f24379e2413aff8a3404fe2?cid=577c3414ccf54576a289735f10e3ee13
253,53,jazz,Naima,360beQMahQ2FdZ9OmWYiBT,https://p.scdn.co/mp3-preview/539dce4f787c3561f3fd7fec75af1496456f0003?cid=577c3414ccf54576a289735f10e3ee13
255,55,jazz,Doin' It,3qQVUOHJdgIFWJd0jrG9GE,https://p.scdn.co/mp3-preview/f637fd1bbac12a3a1bd8186d4a457bff225ebf4e?cid=577c3414ccf54576a289735f10e3ee13
259,59,jazz,Nata Di Marzo,0qjNOWXNj9SUuBiW9ioJhD,https://p.scdn.co/mp3-preview/a38bdce9d64786d2e398912c0237ed06227c7127?cid=577c3414ccf54576a289735f10e3ee13
265,65,jazz,Limehouse Blues,7MmWcH8NQ0e9w8naaWp2l2,https://p.scdn.co/mp3-preview/64e3ee3eb0dc38fb8f54c69dc407a24966b4ea10?cid=577c3414ccf54576a289735f10e3ee13
267,67,jazz,It Ain’t Necessarily So,0vwTHK0RI01avuLIrAHp8C,https://p.scdn.co/mp3-preview/5e886827d2d19bd6141c8e7fcf2a6f47c32873fc?cid=577c3414ccf54576a289735f10e3ee13
268,68,jazz,Self-Portrait In Three Colours,1dLb36wK59q5QgGCZE9YyK,https://p.scdn.co/mp3-preview/9381bee1fe10be62c128ca1160aca206ba4f2edb?cid=577c3414ccf54576a289735f10e3ee13
271,71,jazz,Twilight...And Beyond,3MYojP082i6SdgmUxZWgMu,https://p.scdn.co/mp3-preview/bf629d78ca9bd095c585178d43fca9c43cb4b462?cid=577c3414ccf54576a289735f10e3ee13
272,72,jazz,Chega de Saudade,0dWOiVQwoUYTtXD0VVgmJQ,https://p.scdn.co/mp3-preview/fd87c6ee110ba4f9f446c3eeac6d061a5e2f4d7c?cid=577c3414ccf54576a289735f10e3ee13
274,74,jazz,Hot Mallets - 2002 Remastered,6HRUw67PN9Q8q4y2FDQOU6,https://p.scdn.co/mp3-preview/b3126f6146abb498c2461e93b1d7aae2eb92269e?cid=577c3414ccf54576a289735f10e3ee13
276,76,jazz,Better Git It in Your Soul,16nJl8NnriCJxraco5Zssm,https://p.scdn.co/mp3-preview/7646a845c61449a29747440dcea48e54a2633158?cid=577c3414ccf54576a289735f10e3ee13
280,80,jazz,Pretty Ballad,3gMMHNUrq3rPeUfgQcAJ2H,https://p.scdn.co/mp3-preview/cb662e3d93881ccdc8c20642ae77d88250d97daa?cid=577c3414ccf54576a289735f10e3ee13
281,81,jazz,Don't Explain,6jtqMK07LIrDOKprhrF0vU,https://p.scdn.co/mp3-preview/96491be555a4f0aa95cf1f5bf9673c657a6a28e9?cid=577c3414ccf54576a289735f10e3ee13
284,84,jazz,Moanin',3rFzc8CLVDZ7OOtFa2jPYP,https://p.scdn.co/mp3-preview/7b73820ef9d5f6e56dbcfdf50237569f9e1d58b7?cid=577c3414ccf54576a289735f10e3ee13
286,86,jazz,Bossa Nova U.S.A.,6cjjUuY51c5SwTABCVPSYH,https://p.scdn.co/mp3-preview/32af7f124efe823317ae4afae5a2df7e73e13ebf?cid=577c3414ccf54576a289735f10e3ee13
288,88,jazz,Portrait of Tracy,2Fc3GG0g44NbggiPUKM7AG,https://p.scdn.co/mp3-preview/67dd91384c071c3283d05064ab6e7185f3aacb38?cid=577c3414ccf54576a289735f10e3ee13
289,89,jazz,Freddie Freeloader,2x91iJc0UkFcjRMEZ2CoWB,https://p.scdn.co/mp3-preview/254460379133630c31488ffa15b6dbd37ea78da8?cid=577c3414ccf54576a289735f10e3ee13
291,91,jazz,Tenderly,6TMoKdGcSIHjLfyzINFB5X,https://p.scdn.co/mp3-preview/a7f33f6ebbd5939571108ecaab7b101e457bcbc2?cid=577c3414ccf54576a289735f10e3ee13
293,93,jazz,Apple Honey - 78rpm Version,2Xlp3XSlVGB7oWgxlyo5oT,https://p.scdn.co/mp3-preview/7b9e1e57b45ea143b639156673e09b5a4149a944?cid=577c3414ccf54576a289735f10e3ee13
295,95,jazz,Long Yellow Road,4i3VL3Rs0ARoUOIANrJDzR,https://p.scdn.co/mp3-preview/31bddb4dc2e81804d83662cd0cc38cf8e12ab7cd?cid=577c3414ccf54576a289735f10e3ee13
297,97,jazz,Walkin' And Swingin',0DTK1wka31c9Iam2OywdKg,https://p.scdn.co/mp3-preview/4005d66c6e0a48da27c3790833a90e1ff28a8f89?cid=577c3414ccf54576a289735f10e3ee13
298,98,jazz,Cuando Cuando,493ACqCZRUA0S35w0ACn4Y,https://p.scdn.co/mp3-preview/d9b95d606760688dc13d678299d716bdad9a22f9?cid=577c3414ccf54576a289735f10e3ee13
