Genre,Track_Name,Track_ID,Preview_Link
blues,Shake Your Money Maker,3JPC78sNlPaiZ1NgztXW2Q,https://p.scdn.co/mp3-preview/3ea0e75cf1fce14e4e50584211e5bea39cc8924f?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,I Ain't Drunk,0NkbSdUKVUTouk8JLh9TjG,
blues,Crossfire,5bAOP88AnFD11mTj0HisF2,https://p.scdn.co/mp3-preview/dea65d7413e3a12ba571c436de071ce127f8b882?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,"Darling, You Know I Love You",0BFfobI8cW3yot70tbx4o4,
blues,Slow Train,1I32D5O8mjfQEglezN4bY0,https://p.scdn.co/mp3-preview/2f6b319ace8dda73003c3c67a251a6a706e081ac?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Standing Around Crying,360jaOju9QXyVHAA7nMTZE,
blues,Dimples,6DLrAHrL7x84UJX4OGnOPU,
blues,Mary Had a Little Lamb,50yVEqOnLHtRTHWq3PWBuZ,
blues,Baby I Love You,1PsjDVkBLwMmltdfr0GfvG,
blues,Hound Dog,0TEQtww0aAXaFdsICYD5GO,
blues,I Just Want To Make Love To You,33K1u1kovHtnBt9sZoz2Eb,
blues,Mannish Boy,5mTFQUnS4PNyZ8FAKZe6wD,
blues,The Sky Is Crying - 1984 Version,0rXcAvuQdrQakSPhIOZ6f8,https://p.scdn.co/mp3-preview/0e8c30fbbab283d4ce7b2a7c0b10b43bf33fa323?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,It Serves You Right To Suffer,1E1RVBqOc9xA7XIwPthUwM,
blues,September in the Rain,0W5g6u4ccnW7hjudurP4K8,https://p.scdn.co/mp3-preview/e1e00b6587750d8464c557ac70ab158f5f7b032d?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 1999 Remaster",6YEOmCsXSk9ZPE0FkcCiuQ,https://p.scdn.co/mp3-preview/f1a05b5812e488e2f8a062ab3b7165ead0ed4768?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Georgia On My Mind,2O6o5oYgXP6PfhKokTkPfc,https://p.scdn.co/mp3-preview/11ac7e1252292ee456025f6a4d51fe8344f203a0?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,If I Had Possession Over Judgement Day,5htOCIFKEdtPO8wWZElDoI,https://p.scdn.co/mp3-preview/d3740fe7adeca8e5ea1d089f1be15105c04b754a?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Crawlin' King Snake,4LYrnUXilXtqYMCTsgYR8m,
blues,What Kind Of Woman Is This?,0BrmbJnPYcd7gnvLYqxw0r,https://p.scdn.co/mp3-preview/df76ec3113cf2b21f5f5fb400cf3de2b8de11348?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,I Can't Quit You Baby,1TVtYIucWI5fqdQwwlZFR3,https://p.scdn.co/mp3-preview/736b651a5040719568325da8c82ae026bf50f073?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Sugar Mama,0GTWn2GTjeHZ7Q8oub6srI,
blues,Change It,1KrOqTsy6nTZhKq26Vomqu,https://p.scdn.co/mp3-preview/cd40437e4e8ee1a9e8144fed416b094a643c2047?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Spoonful,6Pi1pz3pHIhclix9EKvy2q,
blues,I Love You Honey,2tXYY4SMGHHia9qJe5aKFn,
blues,"Baby, Please Don't Go - Live",4kY1zORr6jt053J0d4PGHv,https://p.scdn.co/mp3-preview/21de1ca03e3ac8444ba50b22ddec43b5762ce837?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Mad About the Boy,5crufJHDql7EiCojAXli8K,https://p.scdn.co/mp3-preview/d152c1f10a29cb2db203174539217037057a2717?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,She's Gone,2swDvj3cIDWgFhb1oHVnm7,
blues,Every Morning,6WmwvYaVSod4whIXGWEvBR,https://p.scdn.co/mp3-preview/0a09fbffbe4964e7b72d6cb019a387eaae75c9c0?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Stop,4aWZIBCBMQEgMna9JpgW90,https://p.scdn.co/mp3-preview/e0fb9f627adf27a92eb3d86db212a60c33846254?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Brown Sugar,5H0buOvucTuvEvrJFxtftl,https://p.scdn.co/mp3-preview/12bd67481e418c12e31f023d0a86e54ce1460a32?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Southern Can Is Mine,5hZpgRH8eQZiv4yrlQKwHC,https://p.scdn.co/mp3-preview/ade48d107e74e943dc1ff9018062dc997270bcc7?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Dangerous Mood,0Gn6Gbd6rSZeTVmdcl1Qe7,
blues,Stormy Weather,43udHG5OVEJ7hw7UragsqP,
blues,The House Is Rockin',5DUi0QVP5Lgm7lwVE0r9ZP,https://p.scdn.co/mp3-preview/984aeecdbb52ba394f128f838a96728e0fe45b06?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Midnight Special,6QFE0KgBhKt01IeA0NLpwE,
blues,Last Night,7MFkmvySBDx4SHHIpHl4TZ,https://p.scdn.co/mp3-preview/96966790430aed9e0d6cf0f3532f9aba340b7f76?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Howlin' for You,0grFc6klR3hxoHLcgCYsF4,https://p.scdn.co/mp3-preview/a5c29239ea62843247c24be6008222c5e95d4332?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,I Asked For Water (She Gave Me Gasoline),2RsVmxSf8sQfBqjneQ1P7D,
blues,I'm In The Mood - Single Version,6hURmYjfqmr5CfK1wSHxtv,
blues,Crossroads - Remastered Version,6mGy6bzPJ6hrgPnVJZCEd4,https://p.scdn.co/mp3-preview/afe4d2be5f4c11a27632cf354049f538b17f1653?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,(Sittin' On) the Dock of the Bay,50uGbeaQIxKiSc7jvRTjWx,https://p.scdn.co/mp3-preview/f4a5f20ce3896f0a7a7cb335ff7b544cf0219a9e?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Riding with the King,618hiI74zBL8UVgAvfmkLj,https://p.scdn.co/mp3-preview/ba8e03f3cfc7e4f835e0f762dd5fd9d757afcf95?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Dust Bowl,1i7QbG73o4liXhmbtaT7Z3,https://p.scdn.co/mp3-preview/606be72daf537fcc52d31aed2dba2499c140d6a1?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Tightrope,1c6NeAeFEG3C3i7Y48QCu0,https://p.scdn.co/mp3-preview/5259c3db1e27f6918960aa47d74d7a77cb5a66e3?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,You Upset Me Baby,5VkAUiBDfeZz3RKf6QWELj,https://p.scdn.co/mp3-preview/068eec5fcdbbb3015e4535a9b336e5a4cbc98422?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Malted Milk,4GVVHxJJKPlP25E2074x7p,
blues,Drown in My Own Tears,0oQtjAjUeksVd9gHE5fl02,https://p.scdn.co/mp3-preview/23b3e06a63511468d658d0baba6482edcc50b3d8?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Something's Got A Hold On Me,6OCu02giYyUohTNb5iLdf3,
blues,Rude Mood,1ZTdrHAfVVoij7fe3iFozS,https://p.scdn.co/mp3-preview/9fccfdae5626ee2a8f44e8fdb0b2fe55e47d9bf8?cid=6410be731bfd4cf798c0e6e9a32589fc
blues,Big Legged Woman - Remastered,2DQNcMIYVQwpShcFU9GZfV,
