,Genre,Track Name,Track ID,Preview_link
0,heavy-metal,Digital World,2KhwmD6OTFJtlq6PVu9mI5,
1,heavy-metal,Night Witches,4GyoRIx9au0OSRrqbArkia,
2,heavy-metal,Holy Diver,57fqmDaokbxZ3TaB0jp39q,https://p.scdn.co/mp3-preview/2b39f877d26df99740e2fd49b29e41d9001d29c1?cid=577c3414ccf54576a289735f10e3ee13
3,heavy-metal,Cirice,19yy8kd0JBWpvobwZDw20l,
4,heavy-metal,Endzeit,2abSIRLYyz5YFr6TCSTaFd,
5,heavy-metal,Wasted Years - 1998 Remaster,0ozNndH4mWI1bbcX0jT1X1,https://p.scdn.co/mp3-preview/3b9425bb461c82c1112c8640ef1a3a11cee1d246?cid=577c3414ccf54576a289735f10e3ee13
6,heavy-metal,Right Wing of the Garden Triptych,3e9I5x5sGzQWIBgXvK0Y14,
7,heavy-metal,Cloud Connected,1FCrFcZRoKLIaZ6JDocHMf,
8,heavy-metal,Wage Slaves,58Cy98y0guUcK3Sn6GaiUk,
9,heavy-metal,Blow Your Trumpets Gabriel,4JynkH6Oa9cJ0zUTzYA2UP,https://p.scdn.co/mp3-preview/9310c3435c36f3bf1398dc4a2594e37b10cdb4ce?cid=577c3414ccf54576a289735f10e3ee13
10,heavy-metal,Symbolic,0dpFb4qv92TE9R00Lq4SAW,https://p.scdn.co/mp3-preview/11a7a4538f16e16c84c39f20e5817ae03226b71c?cid=577c3414ccf54576a289735f10e3ee13
11,heavy-metal,5 Minutes Alone - 2003 Remaster,4ifte2dOwkkfP7suPYmwX2,https://p.scdn.co/mp3-preview/99ac5ecb243af137419b8182fb49028575ac1d14?cid=577c3414ccf54576a289735f10e3ee13
12,heavy-metal,Aces High - 1998 Remastered Version,5lSbdSQAWAMjAcJDJPFGQr,
13,heavy-metal,Mr. Crowley - 2002 Version,7AWeyu0x4vJp3pb2RKadBT,
14,heavy-metal,Take My Bones Away,1yibGVA3FlGySYObOkMdzc,https://p.scdn.co/mp3-preview/bace11d239911175003eab279570772504f6d4c7?cid=577c3414ccf54576a289735f10e3ee13
15,heavy-metal,Stand Up And Shout,2HwtiwV8OgIwNuj1Wq9e0B,
16,heavy-metal,Cemetery Gates,4vJr55lngvhSM8WIh9CjQc,https://p.scdn.co/mp3-preview/537befd951a290a8c4fc28e5503c6b76d2d01d7a?cid=577c3414ccf54576a289735f10e3ee13
17,heavy-metal,Locust,2fed1yXI1clOEddfGyKyH2,https://p.scdn.co/mp3-preview/758f23fa23e730be08094f5ac299d62e1206e94b?cid=577c3414ccf54576a289735f10e3ee13
18,heavy-metal,Black Metal,118y6uwQUrxrhKnVJEAmNC,
19,heavy-metal,Light Bearer,0yt0tDGpiWoxWfw4mTOzq5,
20,heavy-metal,512,1nF799xuckKAddjI8JA4Ct,
21,heavy-metal,Deliver Us,6HM5Kk5TkGEKigkf9uQRjq,
