,Genre,Track Name,Track ID,Preview_link
0,heavy-metal,The Unknowing,0NDV8dj1wP5sOi07rBYcTy,https://p.scdn.co/mp3-preview/c29b7958c5f883e413a06922abecb7a62e67781e?cid=577c3414ccf54576a289735f10e3ee13
1,heavy-metal,Overkill,2O3BRyrdPgauBAAH5vxxvc,
2,heavy-metal,Angels Don't Kill,2DheMnbW4bvwIMqPzQ3vKd,
3,heavy-metal,Stillborn,6TRuW1ZgKCCk24uCuhfo7r,
4,heavy-metal,An Eternity Of Lies,3gCXTYYYSWU9yJiFYjgOpQ,
5,heavy-metal,1.618,5gvEv8RLtvH4YumbCQp3wQ,https://p.scdn.co/mp3-preview/782066990801fdfcea69a83918f637bac27ad26b?cid=577c3414ccf54576a289735f10e3ee13
6,heavy-metal,Night Witches,4GyoRIx9au0OSRrqbArkia,
7,heavy-metal,Master Of Puppets,6NwbeybX6TDtXlpXvnUOZC,
8,heavy-metal,From Darkness,33ZFKm1MywFIFXUJF4wm3F,
9,heavy-metal,True American Hate,6kJZwVwJEAJuAWEtFHtvcT,
10,heavy-metal,Nymphetamine Fix,6WuqJLVZcyJklg7lIozAO8,https://p.scdn.co/mp3-preview/842ddbf1f9508322162b3b2a078f8f34a5d78553?cid=577c3414ccf54576a289735f10e3ee13
11,heavy-metal,Bleak,0Nj4eoThAEPpmeSA6zWYEs,https://p.scdn.co/mp3-preview/256a022498c4ef7a71a87c89f77e226bb3951976?cid=577c3414ccf54576a289735f10e3ee13
12,heavy-metal,Walk with Me In Hell,7lu2J32qRCqH09VuBCuhM9,https://p.scdn.co/mp3-preview/80786838b934c59e768fc76c88bc84ab0351e490?cid=577c3414ccf54576a289735f10e3ee13
13,heavy-metal,Lift Me Up (feat. Rob Halford of Judas Priest),1LHZMWefF9502NPfArRfvP,https://p.scdn.co/mp3-preview/be310aa769bd7221b89d801f8ca55778ac338215?cid=577c3414ccf54576a289735f10e3ee13
14,heavy-metal,The Ninth Wave,7FbbCW8dAY78W1IZwzEWdb,
15,heavy-metal,Drink,6jZXJIJVTCSZ15lFUp5qzD,
16,heavy-metal,Mouth for War,6rkeaQRCWZxwkjhyqgxjXi,https://p.scdn.co/mp3-preview/cb8116effd9beb66f7cb4a90ada6d944f5d8d055?cid=577c3414ccf54576a289735f10e3ee13
17,heavy-metal,Battle Hymn,1VRnW4Qk8PP3EGGFMs6Z32,
18,heavy-metal,Mr. Torture,2imowW3BiQRWcIBjjjGKAl,
19,heavy-metal,Holy Wars...The Punishment Due - Remastered 2004,5LyRtsQLhcXmy50VXhQXXS,
20,heavy-metal,Unanswered,0xoWbuuHeHgbmsOtgQeNKH,
21,heavy-metal,Seasons In The Abyss,2jfYVyExxd0j61Qm5TZi6V,
22,heavy-metal,Holy Diver,57fqmDaokbxZ3TaB0jp39q,https://p.scdn.co/mp3-preview/2b39f877d26df99740e2fd49b29e41d9001d29c1?cid=577c3414ccf54576a289735f10e3ee13
23,heavy-metal,Heathen Horde,71lIvK3ydXu0C5ItgSxRdh,https://p.scdn.co/mp3-preview/3f43b48b3ed14aad561ec0a7671ca7851aa971b2?cid=577c3414ccf54576a289735f10e3ee13
24,heavy-metal,I Could Care Less,7sI7rhcEbNyI78SsNMO2A8,https://p.scdn.co/mp3-preview/6a66e0ddd3c6bcc94e5f62a4c20dc253726a77b9?cid=577c3414ccf54576a289735f10e3ee13
25,heavy-metal,99,7orwSJH73HtKc6VhN2RB4R,
26,heavy-metal,Arise,1erRDf98WX0VllciGPYO1H,https://p.scdn.co/mp3-preview/7130ca17f2716b49f21f0ebb0cb4b44d4ef150fc?cid=577c3414ccf54576a289735f10e3ee13
27,heavy-metal,Domination,769cLRTw2y6KRdkFWFkxtu,https://p.scdn.co/mp3-preview/9bbdeb97597b3ed32ff42d1862a932b0d5230fbe?cid=577c3414ccf54576a289735f10e3ee13
28,heavy-metal,The Pursuit Of Vikings,0sObxZUKqdPfgjG9ahSlP5,https://p.scdn.co/mp3-preview/2cec7937dd721879d795ade19fe818236cbcee96?cid=577c3414ccf54576a289735f10e3ee13
29,heavy-metal,Starlit Path,4fGaK5oom9FT4qiFut1M33,
30,heavy-metal,The Game,2xr8xGBmeXy8H2eWEpxfP7,https://p.scdn.co/mp3-preview/472c3335f2d64b65a2058327e5aaf7c28e0dda59?cid=577c3414ccf54576a289735f10e3ee13
31,heavy-metal,Digital World,2KhwmD6OTFJtlq6PVu9mI5,
32,heavy-metal,Dystopia,2Jn0NIclVZkZ0BDWnRaGiE,
33,heavy-metal,The Last in Line,6LUGAFpbYVek4rRY0G9dV0,https://p.scdn.co/mp3-preview/4e12b511c7cc19bd42135710bae98700b152b068?cid=577c3414ccf54576a289735f10e3ee13
34,heavy-metal,Cirice,19yy8kd0JBWpvobwZDw20l,
35,heavy-metal,Cry Of The Black Birds,1Fj3SwH4PwLL0N1y6e0ojz,https://p.scdn.co/mp3-preview/01829583c63f5a07a6225b66d877a16a416ebe3f?cid=577c3414ccf54576a289735f10e3ee13
36,heavy-metal,Needled 24 / 7,5IjTGUgCEUDw8t6wIVbmrg,
37,heavy-metal,Hail and Kill,5HkvAtKEPDLmchWYmepqYB,https://p.scdn.co/mp3-preview/a9e8d8f1bddb8b94b4ea9c7d47d36693ffe9d68a?cid=577c3414ccf54576a289735f10e3ee13
38,heavy-metal,Now You've Got Something to Die For,6uw0ccDTu2taJB1KU6ggQk,
39,heavy-metal,Élan - Radio Edit,0kHJ1gFEeaGBFRcOE2LQ5m,https://p.scdn.co/mp3-preview/976e1ef9d19a5e671bbebb341588dbc930c2a730?cid=577c3414ccf54576a289735f10e3ee13
40,heavy-metal,Ievan Polkka,0GqRHYIgfiy5Pfkv0bK2zP,
41,heavy-metal,Light Bearer,0yt0tDGpiWoxWfw4mTOzq5,
42,heavy-metal,Through The Shadows,2C7qbrz1OBX7n8mwOjqlro,
43,heavy-metal,Alpha,6PQcccCgnPgyAUtQNMbBr0,
44,heavy-metal,In My Sword I Trust,2jvhoUj6rTyQHZ0XrVR7dv,
45,heavy-metal,Sacred Worlds,3PfzRykge8UaWMIEli7H8P,
46,heavy-metal,Anubis,6kdYveEe5djAThDky1jyIt,
47,heavy-metal,Into the Everblack,3lQMzffAEj7NnJLL6T0Y62,https://p.scdn.co/mp3-preview/11da6911c85dacddc2bf6f7439b570c9c5b2c360?cid=577c3414ccf54576a289735f10e3ee13
48,heavy-metal,Heeding The Call,5T5sR1qP3lzDzODOR8eVeH,
49,heavy-metal,Punisher,1EZs2t6k55zUFbhX5jEJkg,https://p.scdn.co/mp3-preview/2b88e7ff27e49e2daf68f54bb62a836a8e978b17?cid=577c3414ccf54576a289735f10e3ee13
50,heavy-metal,Children of the Grave,00iV838pAEznn1qLoG8Rxy,
51,heavy-metal,Oroborus,6WUNfk8ULz9ZdmC9f315Qp,https://p.scdn.co/mp3-preview/ec3d71c51bac44e111ed3d11f9a233bf74f572b8?cid=577c3414ccf54576a289735f10e3ee13
52,heavy-metal,Resist and Bite,0DhsBWaVj3Fk4gzUzngAmP,
53,heavy-metal,Stardust,4Gfesj6CxxVdmeMGVXTDW2,
54,heavy-metal,Fury Of The Storm,0B6uxTg34PpMBFhA4fKsAU,
55,heavy-metal,Seventh Swamphony,3oNkd3uj2phyrtZCmvtN6c,
56,heavy-metal,Machine,7sxiG6BuAb28nh3qGmbz7L,https://p.scdn.co/mp3-preview/bac4d9dfc7064af02fa5911633ae6ee524e7b5ab?cid=577c3414ccf54576a289735f10e3ee13
57,heavy-metal,A Tout Le Monde - Remastered 2004,6olS0TmHmsGr0hXtcBsiVM,
58,heavy-metal,As The Pages Burn,4I9qtk6mvj3GwVYzSIu6IQ,
59,heavy-metal,Wild Child,1aPQhwQfYSYM81SVDeC92T,
60,heavy-metal,For Whom The Bell Tolls,4hOohf45f0JtxYKNsEAIOV,
61,heavy-metal,Wish I Had An Angel,6Q6q4wKqer9L47Xt1xGsMW,
62,heavy-metal,Warriors,082aruk105IENXRKj6RehY,
63,heavy-metal,While We Sleep,3L3CSAuEOljN5C2SijEYMS,
64,heavy-metal,Take This Life,52DKRgSDIyvacToVErwWg5,
65,heavy-metal,Monstrance Clock,3rVcPrtfeFttfdCakEuDNa,
66,heavy-metal,The Price,1zhslrTnZTCu5yHw8MjUF7,
67,heavy-metal,You Will Know My Name,2dQUNg3OGqVXrfjDpgJcCu,
68,heavy-metal,Fast As a Shark,79FdyI4F44GFPI6HGFfCfA,
69,heavy-metal,Where The Dead Ships Dwell,2rBvzWSfw6nrZzglkfPXvY,
70,heavy-metal,A Rose for Epona,4DfUmbnnxpRlwLsFYfmGfn,
71,heavy-metal,Deceiver of the Gods,1HIltntwioJoDMsHBmH0Bl,https://p.scdn.co/mp3-preview/7b04a0fcdc3707fd8d11f0e9b75fa2e3fdda5f48?cid=577c3414ccf54576a289735f10e3ee13
72,heavy-metal,SECULAR HAZE,47Y1Jtxa3c8VCqLZm157IJ,
73,heavy-metal,The Nexus,4zKlkTXbCtQE9dY3SZjRi3,
74,heavy-metal,To Holmgard And Beyond,3gObaIPRtZn4k52rIwNp2z,
75,heavy-metal,Warrior Without a War,0eP2ovLkpUu4opXgGNtwoE,https://p.scdn.co/mp3-preview/2fd36ac73af3ccb03886efa6914816c37bcee816?cid=577c3414ccf54576a289735f10e3ee13
76,heavy-metal,We Are The Others,6uKvnGeg6xgzPTH3QSPTB6,https://p.scdn.co/mp3-preview/49d8d3b2f2e6e13b338a8563ce2fd0a1834f2b4b?cid=577c3414ccf54576a289735f10e3ee13
77,heavy-metal,Any Means Necessary,5JDxgnErZ8ccEnzVR3bOPb,
78,heavy-metal,The Path To Decay,31P9v8uJKF2LdKVMFHAUKO,
79,heavy-metal,Under and Over It,7iXehQAqsHO8xwGUcnZpHW,
80,heavy-metal,Creeping Death,3LM41UarpHPJkUZ7rVbbGx,
81,heavy-metal,Cloud Connected,1FCrFcZRoKLIaZ6JDocHMf,
82,heavy-metal,Cemetery Gates,4vJr55lngvhSM8WIh9CjQc,https://p.scdn.co/mp3-preview/537befd951a290a8c4fc28e5503c6b76d2d01d7a?cid=577c3414ccf54576a289735f10e3ee13
83,heavy-metal,Replica,5Q964CEfbwUO0xXGrIzQoI,
84,heavy-metal,The Devil in I,5hheGdf1cb4rK0FNiedCfK,https://p.scdn.co/mp3-preview/7403b6a13701d54ed89cd5134b38997971123938?cid=577c3414ccf54576a289735f10e3ee13
85,heavy-metal,Fear Of The Dark - 1998 Remastered Version,6q9CRTF8dyABIcKj7bCJwf,https://p.scdn.co/mp3-preview/38c2695b764dfdbc012bc98a51680867f5c81e93?cid=577c3414ccf54576a289735f10e3ee13
86,heavy-metal,Breaking the Law,2RaA6kIcvomt77qlIgGhCT,https://p.scdn.co/mp3-preview/2045675c3ff30411c283de17ddcf3952efd9234e?cid=577c3414ccf54576a289735f10e3ee13
