,Genre,Track Name,Track ID,Preview_link
47,heavy-metal,Walk with Me In Hell,7lu2J32qRCqH09VuBCuhM9,https://p.scdn.co/mp3-preview/80786838b934c59e768fc76c88bc84ab0351e490?cid=577c3414ccf54576a289735f10e3ee13
48,heavy-metal,Of Mind – Nocturne,1W9LVZfmOltv8rlodKOaqH,
49,heavy-metal,War of the Gods,2bBUHwOa8alimc1TiXg1oY,https://p.scdn.co/mp3-preview/8b5f35152bba8553df7fa143d78a357b15cfa8e7?cid=577c3414ccf54576a289735f10e3ee13
50,heavy-metal,MK Ultra,697K6Czx6VTjC1uBFc3Mwc,
51,heavy-metal,Faster,28HX0PibeXSL6cfAsvwSgD,https://p.scdn.co/mp3-preview/dbdeec5d31a3582fc06355d9c24d4fc49e7df7f7?cid=577c3414ccf54576a289735f10e3ee13
52,heavy-metal,Down from the Sky,5LePaQIrJcIwrUzNEr3m86,https://p.scdn.co/mp3-preview/b99c0e999ad17815dea90b28a76a60d26866a1dc?cid=577c3414ccf54576a289735f10e3ee13
53,heavy-metal,Fullmoon,2XStsBSoC87ERBmPllJlnA,
54,heavy-metal,Revelation,69GLIlXzwz2nya58DBesNe,
55,heavy-metal,Death Dies Hard,3IVjVJ21z8pLZIxyvw6rpJ,https://p.scdn.co/mp3-preview/6735d7536ab8119c5d97b6e150d659b12f7ea0d9?cid=577c3414ccf54576a289735f10e3ee13
56,heavy-metal,Tread Lightly,46PDxEshU0SPeKY36Pu3FY,https://p.scdn.co/mp3-preview/b3122cd0af25fae7970015a2b5e181df09fc0c39?cid=577c3414ccf54576a289735f10e3ee13
57,heavy-metal,Symphony Of Destruction,4YJZjINIhakR98fnz1Pvup,
58,heavy-metal,Father of the Wolf,7zmgGJrQoOOSrkEoJDVeR2,https://p.scdn.co/mp3-preview/65992ddb566f5b74aaeb179b0d16df19ccdf315c?cid=577c3414ccf54576a289735f10e3ee13
59,heavy-metal,Solitude,3BCZlaIyBqd9Ltajab2Jwx,
60,heavy-metal,Now You've Got Something to Die For,6uw0ccDTu2taJB1KU6ggQk,
61,heavy-metal,Playing with Fire,76nn51rRcf39uNylrSXlky,
62,heavy-metal,Kascade,7hY2Kc7Hvu0BudOoQwu8Ez,https://p.scdn.co/mp3-preview/5469353435eea7a08c416ba896325b7139afbb08?cid=577c3414ccf54576a289735f10e3ee13
63,heavy-metal,The Pursuit Of Vikings,0sObxZUKqdPfgjG9ahSlP5,https://p.scdn.co/mp3-preview/2cec7937dd721879d795ade19fe818236cbcee96?cid=577c3414ccf54576a289735f10e3ee13
64,heavy-metal,The Chosen Ones,5sU01Cj0uRDuzK4EzEuQEh,
65,heavy-metal,Captain Morgan's Revenge,1hkgI8Rzi8rrsSlYCW9j9Y,
66,heavy-metal,Thousandfold,2JFnvk50eXQ5ukFCoUHgcr,
67,heavy-metal,Raining Blood,4Yx9Tw9dTgQ8eGCq3PRDyn,
68,heavy-metal,The Devil in I,5hheGdf1cb4rK0FNiedCfK,https://p.scdn.co/mp3-preview/7403b6a13701d54ed89cd5134b38997971123938?cid=577c3414ccf54576a289735f10e3ee13
69,heavy-metal,The Things We Believe In,6G1r9YfIWGGnhg240AU1o1,https://p.scdn.co/mp3-preview/fb8ee4e9713f44d00d583a8a5c823f90710cad26?cid=577c3414ccf54576a289735f10e3ee13
70,heavy-metal,Nemesis,0hKtqHVkSvlVRMJ00M9d56,
71,heavy-metal,Blood and Thunder,3jagGO7eHHuaD53ibehkux,https://p.scdn.co/mp3-preview/214f41a401c263439f5e715b2875940fef45f7b1?cid=577c3414ccf54576a289735f10e3ee13
72,heavy-metal,Love?,4eZjwZGuzOexZetGW3SizZ,
73,heavy-metal,Downfall,7FDSDmS5qP3ZA3vRVVN2fV,
