,Unnamed: 0,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability,code
5773,6130,j-dance,モノクロ,4bZ2w9IzoYEESVefrWXD6r,22,-5.535,100.988,192707,0.804,0,1.74e-06,0.0477,0.452,0.725,107
5774,6131,j-dance,原宿いやほい,4M2ft0utYYfDoUkIcupHSq,27,-0.544,127.995,221250,0.975,7,0.0111,0.0318,0.8059999999999999,0.662,107
5775,6132,j-dance,"Love the past, Play the future",3wDxEDXi63oamalJGovYCb,16,-3.388,127.95299999999999,259520,0.956,3,0.0,0.0897,0.414,0.506,107
5776,6133,j-dance,Rapt In Fantasy,6cC3EpU8JPrMrhiwYUspGc,21,-9.408999999999999,124.99799999999999,439760,0.7340000000000001,10,0.897,0.0426,0.894,0.792,107
5777,6134,j-dance,Sunriser (FLR's Vox Rise Mix),3CmMoaeb2EYC2m72BN49tN,1,-5.895,130.007,409360,0.9229999999999999,7,0.722,0.0521,0.0326,0.723,107
5778,6135,j-dance,オニャンコポン,0N6i3Em7AFfWzisbmIRrtC,19,-5.084,134.989,192249,0.955,7,0.0587,0.0689,0.691,0.7070000000000001,107
5779,6136,j-dance,Gone girl,1p5TIESaJ9thAlVAUiurPE,0,-5.751,101.014,195315,0.737,5,0.0,0.156,0.899,0.94,107
5780,6137,j-dance,ABSOLUTE EGO DANCE,0Zc8JXo5VhuSS81vwnh4h2,25,-5.8389999999999995,143.61,277280,0.96,2,0.852,0.0392,0.96,0.669,107
5781,6138,j-dance,タチアガレ,4EAH1gPKlOwbUBIyLOQ1BP,6,-2.9930000000000003,136.99200000000002,267867,0.937,7,0.00234,0.069,0.698,0.618,107
5782,6139,j-dance,Etape02,3GaxRpaoOm1YgFeUvraADi,7,-4.0,117.986,214011,0.993,0,0.937,0.0696,0.8440000000000001,0.802,107
5783,6140,j-dance,You,1u0eK5obCvQETpsIxAh51g,3,-4.343999999999999,128.166,277587,0.935,5,0.877,0.0863,0.305,0.353,107
5784,6141,j-dance,Love Is The Answer - Reel People Club Mix,1m5spmRAlVvUOqah6YoAQD,14,-6.774,125.00200000000001,307200,0.79,3,0.23600000000000002,0.0402,0.775,0.67,107
5785,6142,j-dance,Terrible - Original Mix,6ZnUxOxElpxhtJ2fNFtmTv,0,-5.553999999999999,130.02200000000002,312149,0.885,10,0.919,0.0486,0.439,0.583,107
5786,6143,j-dance,パーフェクト,4PGzhaJL2YI5A3B0BJLnEg,8,-3.87,177.953,313120,0.5429999999999999,10,0.0,0.0273,0.311,0.555,107
